timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685031909390,1,Main Catalog,200,OK,Thread Group 1-5,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031909488,6,Sign Out,200,OK,Thread Group 1-13,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031909488,3,Sign Out-0,302,Found,Thread Group 1-13,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685031909491,3,Sign Out-1,200,OK,Thread Group 1-13,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031909575,3,Main Catalog,200,OK,Thread Group 1-6,text,true,,4832,485,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031909647,5,Reptiles,200,OK,Thread Group 1-25,text,true,,3712,303,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES&viewCategory=&categoryId=REPTILES,5,0,0
1685031909730,5,Dogs,200,OK,Thread Group 1-22,text,true,,4296,295,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS&viewCategory=&categoryId=DOGS,5,0,0
1685031909819,7,Sign Out,200,OK,Thread Group 1-14,text,true,,5289,1109,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031909819,3,Sign Out-0,302,Found,Thread Group 1-14,,true,,350,559,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1685031909823,3,Sign Out-1,200,OK,Thread Group 1-14,text,true,,4939,550,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031909881,5,Sign In,200,OK,Thread Group 1-2,text,true,,3925,639,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,5,0,0
1685031909893,1,Home,404,Not Found,Thread Group 1-10,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,1,0,0
1685031909922,1,Home,404,Not Found,Thread Group 1-11,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,25,25,http://localhost:8080/%20/jpetstore,1,0,0
